Rank,Title,Artist,Type,Year
1,"""We Belong Together""",Mariah Carey,Singer,2005
2,"""Hollaback Girl""",Gwen Stefani,Singer,2005
3,"""Let Me Love You""",Mario,Singer,2005
4,"""Since U Been Gone""",Kelly Clarkson,Singer,2005
5,"""1, 2 Step""",Ciara featuring Missy Elliott,Singer,2005
6,"""Gold Digger""",Kanye West featuring Jamie Foxx,Singer,2005
7,"""Boulevard of Broken Dreams""",Green Day,Band,2005
8,"""Candy Shop""",50 Cent featuring Olivia,Singer,2005
9,"""Don't Cha""",The Pussycat Dolls featuring Busta Rhymes,Band,2005
10,"""Behind These Hazel Eyes""",Kelly Clarkson,Singer,2005
11,"""Disco Inferno""",50 Cent,Singer,2005
12,"""You and Me""",Lifehouse,Band,2005
13,"""Don't Phunk with My Heart""",The Black Eyed Peas,Band,2005
14,"""Lose Control""",Missy Elliott featuring Ciara and Fatman Scoop,Singer,2005
15,"""Shake It Off""",Mariah Carey,Singer,2005
16,"""Mr. Brightside""",The Killers,Band,2005
17,"""Just a Lil Bit""",50 Cent,Singer,2005
18,"""Pon de Replay""",Rihanna,Singer,2005
19,"""How We Do""",The Game featuring 50 Cent,Band,2005
20,"""Beverly Hills""",Weezer,Band,2005
21,"""Oh""",Ciara featuring Ludacris,Singer,2005
22,"""Lonely No More""",Rob Thomas,Singer,2005
23,"""Drop It Like It's Hot""",Snoop Dogg featuring Pharrell,Singer,2005
24,"""Hate It or Love It""",The Game featuring 50 Cent,Band,2005
25,"""Lovers & Friends""",Lil Jon & the East Side Boyz featuring Usher and Ludacris,Band,2005
26,"""Soldier""",Destiny's Child featuring T.I. and Lil Wayne,Band,2005
27,"""Breakaway""",Kelly Clarkson,Singer,2005
28,"""Switch""",Will Smith,Singer,2005
29,"""Let Me Hold You""",Bow Wow featuring Omarion,Singer,2005
30,"""Like You""",Bow Wow featuring Ciara,Singer,2005
31,"""Rich Girl""",Gwen Stefani featuring Eve,Singer,2005
32,"""My Humps""",The Black Eyed Peas,Band,2005
33,"""Obsession (No Es Amor)""",Frankie J featuring Baby Bash,Singer,2005
34,"""Caught Up""",Usher,Singer,2005
35,"""Listen to Your Heart""",DHT featuring Edmee,Band,2005
36,"""Scars""",Papa Roach,Band,2005
37,"""Feel Good Inc.""",Gorillaz,Band,2005
38,"""Let Me Go""",3 Doors Down,Band,2005
39,"""Holiday""",Green Day,Band,2005
40,"""Sugar, We're Goin Down""",Fall Out Boy,Band,2005
41,"""Grind with Me""",Pretty Ricky,Band,2005
42,"""Run It!""",Chris Brown featuring Juelz Santana,Singer,2005
43,"""Photograph""",Nickelback,Band,2005
44,"""Lonely""",Akon,Singer,2005
45,"""Collide""",Howie Day,Singer,2005
46,"""Wake Me Up When September Ends""",Green Day,Band,2005
47,"""Slow Down""",Bobby Valentino,Singer,2005
48,"""Over and Over""",Nelly featuring Tim McGraw,Singer,2005
49,"""Some Cut""",Trillville featuring Cutty,Band,2005
50,"""Get It Poppin'""",Fat Joe featuring Nelly,Singer,2005
51,"""Play""",David Banner,Singer,2005
52,"""Soul Survivor""",Young Jeezy featuring Akon,Singer,2005
53,"""Pimpin' All Over the World""",Ludacris featuring Bobby Valentino,Singer,2005
54,"""My Boo""",Usher and Alicia Keys,Singer,2005
55,"""Sugar (Gimme Some)""","Trick Daddy featuring Ludacris, Lil' Kim and Cee Lo Green",Singer,2005
56,"""Karma""",Alicia Keys,Singer,2005
57,"""Speed of Sound""",Coldplay,Band,2005
58,"""I Don't Want to Be""",Gavin DeGraw,Singer,2005
59,"""Mockingbird""",Eminem,Singer,2005
60,"""La Tortura""",Shakira featuring Alejandro Sanz,Singer,2005
61,"""She Will Be Loved""",Maroon 5,Band,2005
62,"""Baby I'm Back""",Baby Bash featuring Akon,Singer,2005
63,"""Wait (The Whisper Song)""",Ying Yang Twins,Band,2005
64,"""Incomplete""",Backstreet Boys,Band,2005
65,"""Bring Em Out""",T.I.,Singer,2005
66,"""Cater 2 U""",Destiny's Child,Band,2005
67,"""1 Thing""",Amerie,Singer,2005
68,"""Best of You""",Foo Fighters,Band,2005
69,"""It's Like That""",Mariah Carey featuring Jermaine Dupri and Fatman Scoop,Singer,2005
70,"""Goin' Crazy""",Natalie,Singer,2005
71,"""Inside Your Heaven""",Carrie Underwood,Singer,2005
72,"""Because of You""",Kelly Clarkson,Singer,2005
73,"""Truth Is""",Fantasia,Singer,2005
74,"""Your Body""",Pretty Ricky,Band,2005
75,"""Beautiful Soul""",Jesse McCartney,Singer,2005
76,"""Cool""",Gwen Stefani,Singer,2005
77,"""Get Back""",Ludacris,Singer,2005
78,"""Outta Control""",50 Cent featuring Mobb Deep,Singer,2005
79,"""U Don't Know Me""",T.I.,Singer,2005
80,"""These Words""",Natasha Bedingfield,Singer,2005
81,"""Don't Lie""",The Black Eyed Peas,Band,2005
82,"""Get Right""",Jennifer Lopez,Singer,2005
83,"""Daughters""",John Mayer,Singer,2005
84,"""As Good as I Once Was""",Toby Keith,Singer,2005
85,"""Girlfight""",Brooke Valentine featuring Lil Jon and Big Boi,Singer,2005
86,"""Lose My Breath""",Destiny's Child,Band,2005
87,"""Ordinary People""",John Legend,Singer,2005
88,"""We Be Burnin'""",Sean Paul,Singer,2005
89,"""Just the Girl""",The Click Five,Band,2005
90,"""True""",Ryan Cabrera,Singer,2005
91,"""O""",Omarion,Singer,2005
92,"""Back Then""",Mike Jones,Singer,2005
93,"""Numb/Encore""",Jay-Z and Linkin Park,Band,2005
94,"""Wonderful""",Ja Rule featuring R. Kelly and Ashanti,Singer,2005
95,"""I'm Sprung""",T-Pain,Singer,2005
96,"""Chariot""",Gavin DeGraw,Singer,2005
97,"""U Already Know""",112 featuring Foxy Brown,Singer,2005
98,"""Mississippi Girl""",Faith Hill,Singer,2005
99,"""Number One Spot""",Ludacris,Singer,2005
100,"""Give Me That""",Webbie featuring Bun B,Singer,2005
1,Tik Tok,Kesha,Singer,2010
2,Need You Now,Lady Antebellum,Band,2010
3,"Hey, Soul Sister",Train,Band,2010
4,California Gurls,Katy Perry featuring Snoop Dogg,Singer,2010
5,OMG,Usher featuring will.i.am,Singer,2010
6,Airplanes,B.o.B featuring Hayley Williams,Singer,2010
7,Love the Way You Lie,Eminem featuring Rihanna,Singer,2010
8,Bad Romance,Lady Gaga,Singer,2010
9,Dynamite,Taio Cruz,Singer,2010
10,Break Your Heart,Taio Cruz featuring Ludacris,Singer,2010
11,Nothin' on You,B.o.B featuring Bruno Mars,Singer,2010
12,I Like It,Enrique Iglesias featuring Pitbull,Singer,2010
13,BedRock,Young Money featuring Lloyd,Band,2010
14,In My Head,Jason Derulo,Singer,2010
15,Rude Boy,Rihanna,Singer,2010
16,Telephone,Lady Gaga featuring Beyoncé,Singer,2010
17,Teenage Dream,Katy Perry,Singer,2010
18,Just the Way You Are,Bruno Mars,Singer,2010
19,Cooler Than Me,Mike Posner,Singer,2010
20,Imma Be,The Black Eyed Peas,Band,2010
21,Empire State of Mind,Jay-Z featuring Alicia Keys,Singer,2010
22,DJ Got Us Fallin' in Love,Usher featuring Pitbull,Singer,2010
23,Billionaire,Travie McCoy featuring Bruno Mars,Singer,2010
24,Not Afraid,Eminem,Singer,2010
25,Replay,Iyaz,Singer,2010
26,Sexy Bitch,David Guetta featuring Akon,Singer,2010
27,Breakeven,The Script,Band,2010
28,Your Love Is My Drug,Kesha,Singer,2010
29,I Gotta Feeling,The Black Eyed Peas,Band,2010
30,Fireflies,Owl City,Singer,2010
31,Say Aah,Trey Songz featuring Fabolous,Singer,2010
32,Find Your Love,Drake,Singer,2010
33,Alejandro,Lady Gaga,Singer,2010
34,Ridin' Solo,Jason Derulo,Singer,2010
35,Just a Dream,Nelly,Singer,2010
36,How Low,Ludacris,Singer,2010
37,Like a G6,Far East Movement featuring The Cataracs and Dev,Band,2010
38,Carry Out,Timbaland featuring Justin Timberlake,Singer,2010
39,Haven't Met You Yet,Michael Bublé,Singer,2010
40,Club Can't Handle Me,Flo Rida featuring David Guetta,Singer,2010
41,Down,Jay Sean featuring Lil Wayne,Singer,2010
42,Bulletproof,La Roux,Band,2010
43,Whatcha Say,Jason Derulo,Singer,2010
44,Baby,Justin Bieber featuring Ludacris,Singer,2010
45,Whataya Want from Me,Adam Lambert,Singer,2010
46,Mine,Taylor Swift,Singer,2010
47,Only Girl (In the World),Rihanna,Singer,2010
48,Live Like We're Dying,Kris Allen,Singer,2010
49,Hard,Rihanna featuring Jeezy,Singer,2010
50,Young Forever,Jay-Z featuring Mr Hudson,Singer,2010
51,Blah Blah Blah,Kesha featuring 3OH!3,Singer,2010
52,Bottoms Up,Trey Songz featuring Nicki Minaj,Singer,2010
53,Do You Remember,Jay Sean featuring Sean Paul and Lil Jon,Singer,2010
54,All the Right Moves,OneRepublic,Band,2010
55,According to You,Orianthi,Singer,2010
56,My Chick Bad,Ludacris featuring Nicki Minaj,Singer,2010
57,You Belong with Me,Taylor Swift,Singer,2010
58,Meet Me Halfway,The Black Eyed Peas,Band,2010
59,Take It Off,Kesha,Singer,2010
60,Over,Drake,Singer,2010
61,Animal,Neon Trees,Band,2010
62,Misery,Maroon 5,Band,2010
63,Magic,B.o.B featuring Rivers Cuomo,Singer,2010
64,Paparazzi,Lady Gaga,Singer,2010
65,Tie Me Down,New Boyz featuring Ray J,Band,2010
66,Your Love,Nicki Minaj,Singer,2010
67,Party in the U.S.A.,Miley Cyrus,Singer,2010
68,Deuces,Chris Brown featuring Tyga and Kevin McCall,Singer,2010
69,3,Britney Spears,Singer,2010
70,Impossible,Shontelle,Singer,2010
71,Forever,"Drake featuring Kanye West, Lil Wayne and Eminem",Singer,2010
72,Two Is Better Than One,Boys Like Girls featuring Taylor Swift,Band,2010
73,My First Kiss,3OH!3 featuring Kesha,Band,2010
74,Already Gone,Kelly Clarkson,Singer,2010
75,Rock That Body,The Black Eyed Peas,Band,2010
76,Secrets,OneRepublic,Band,2010
77,Naturally,Selena Gomez & the Scene,Band,2010
78,Un-Thinkable (I'm Ready),Alicia Keys,Singer,2010
79,All I Do Is Win,"DJ Khaled featuring T-Pain, Ludacris, Snoop Dogg and Rick Ross",Singer,2010
80,I Made It (Cash Money Heroes),"Kevin Rudolf featuring Birdman, Jay Sean and Lil Wayne",Singer,2010
81,Stuck Like Glue,Sugarland,Band,2010
82,Hey Daddy (Daddy's Home),Usher featuring Plies,Singer,2010
83,There Goes My Baby,Usher,Singer,2010
84,Today Was a Fairytale,Taylor Swift,Singer,2010
85,Say Something,Timbaland featuring Drake,Singer,2010
86,Sweet Dreams,Beyoncé,Singer,2010
87,Use Somebody,Kings of Leon,Band,2010
88,Undo It,Carrie Underwood,Singer,2010
89,Eenie Meenie,Sean Kingston and Justin Bieber,Singer,2010
90,Right Above It,Lil Wayne featuring Drake,Singer,2010
91,The House That Built Me,Miranda Lambert,Singer,2010
92,If I Die Young,The Band Perry,Band,2010
93,The Only Exception,Paramore,Band,2010
94,American Honey,Lady Antebellum,Band,2010
95,King of Anything,Sara Bareilles,Singer,2010
96,Life After You,Daughtry,Band,2010
97,Smile,Uncle Kracker,Singer,2010
98,Teach Me How to Dougie,Cali Swag District,Band,2010
99,Try Sleeping with a Broken Heart,Alicia Keys,Singer,2010
100,"Lover, Lover",Jerrod Niemann,Singer,2010
1,Uptown Funk,Mark Ronson featuring Bruno Mars,Singer,2015
2,Thinking Out Loud,Ed Sheeran,Singer,2015
3,See You Again,Wiz Khalifa featuring Charlie Puth,Singer,2015
4,Trap Queen,Fetty Wap,Singer,2015
5,Sugar,Maroon 5,Band,2015
6,Shut Up and Dance,Walk the Moon,Band,2015
7,Blank Space,Taylor Swift,Singer,2015
8,Watch Me,Silentó,Singer,2015
9,Earned It,The Weeknd,Singer,2015
10,The Hills,The Weeknd,Singer,2015
11,Cheerleader (Felix Jaehn Remix),OMI,Singer,2015
12,Can't Feel My Face,The Weeknd,Singer,2015
13,Love Me Like You Do,Ellie Goulding,Singer,2015
14,Take Me to Church,Hozier,Singer,2015
15,Bad Blood,Taylor Swift featuring Kendrick Lamar,Singer,2015
16,Lean On,Major Lazer and DJ Snake featuring MØ,Band,2015
17,Want to Want Me,Jason Derulo,Singer,2015
18,Shake It Off,Taylor Swift,Singer,2015
19,Where Are Ü Now,Skrillex and Diplo (Jack Ü) featuring Justin Bieber,Band,2015
20,Fight Song,Rachel Platten,Singer,2015
21,679,Fetty Wap featuring Remy Boyz,Singer,2015
22,Lips Are Movin,Meghan Trainor,Singer,2015
23,Worth It,Fifth Harmony featuring Kid Ink,Band,2015
24,Post to Be,Omarion featuring Chris Brown and Jhené Aiko,Singer,2015
25,"Honey, I'm Good.",Andy Grammer,Singer,2015
26,I'm Not the Only One,Sam Smith,Singer,2015
27,Good for You,Selena Gomez featuring ASAP Rocky,Singer,2015
28,All About That Bass,Meghan Trainor,Singer,2015
29,Style,Taylor Swift,Singer,2015
30,Hotline Bling,Drake,Singer,2015
31,Hey Mama,"David Guetta featuring Nicki Minaj, Bebe Rexha, and Afrojack",Band,2015
32,G.D.F.R.,Flo Rida featuring Sage the Gemini and Lookas,Singer,2015
33,What Do You Mean?,Justin Bieber,Singer,2015
34,Photograph,Ed Sheeran,Singer,2015
35,Hello,Adele,Singer,2015
36,Stitches,Shawn Mendes,Singer,2015
37,Talking Body,Tove Lo,Singer,2015
38,Jealous,Nick Jonas,Singer,2015
39,Time of Our Lives,Pitbull and Ne-Yo,Singer,2015
40,Locked Away,R. City featuring Adam Levine,Band,2015
41,Somebody,Natalie La Rose featuring Jeremih,Singer,2015
42,FourFiveSeconds,"Rihanna, Kanye West, and Paul McCartney",Singer,2015
43,Centuries,Fall Out Boy,Band,2015
44,My Way,Fetty Wap featuring Monty,Singer,2015
45,Take Your Time,Sam Hunt,Singer,2015
46,Animals,Maroon 5,Band,2015
47,I Don't Fuck with You,Big Sean featuring E-40,Singer,2015
48,Bitch Better Have My Money,Rihanna,Singer,2015
49,"Flex (Ooh, Ooh, Ooh)",Rich Homie Quan,Singer,2015
50,Nasty Freestyle,T-Wayne,Singer,2015
51,Only,"Nicki Minaj featuring Drake, Lil Wayne, and Chris Brown",Singer,2015
52,Elastic Heart,Sia,Singer,2015
53,Cool for the Summer,Demi Lovato,Singer,2015
54,Renegades,X Ambassadors,Band,2015
55,I Don't Mind,Usher featuring Juicy J,Singer,2015
56,Love Me Harder,Ariana Grande and The Weeknd,Singer,2015
57,Wildest Dreams,Taylor Swift,Singer,2015
58,Stay with Me,Sam Smith,Singer,2015
59,You Know You Like It,DJ Snake and AlunaGeorge,Band,2015
60,Uma Thurman,Fall Out Boy,Band,2015
61,11-Jul,Beyoncé,Singer,2015
62,The Heart Wants What It Wants,Selena Gomez,Singer,2015
63,Girl Crush,Little Big Town,Band,2015
64,Slow Motion,Trey Songz,Singer,2015
65,Drag Me Down,One Direction,Band,2015
66,Truffle Butter,Nicki Minaj featuring Drake and Lil Wayne,Singer,2015
67,One Last Time,Ariana Grande,Singer,2015
68,Chains,Nick Jonas,Singer,2015
69,All Eyes on You,Meek Mill featuring Chris Brown and Nicki Minaj,Singer,2015
70,No Type,Rae Sremmurd,Band,2015
71,Riptide,Vance Joy,Singer,2015
72,Classic Man,Jidenna featuring Roman GianArthur,Singer,2015
73,Ex's & Oh's,Elle King,Singer,2015
74,Dear Future Husband,Meghan Trainor,Singer,2015
75,Marvin Gaye,Charlie Puth featuring Meghan Trainor,Singer,2015
76,Like I'm Gonna Lose You,Meghan Trainor featuring John Legend,Singer,2015
77,Habits (Stay High),Tove Lo,Singer,2015
78,The Hanging Tree,James Newton Howard featuring Jennifer Lawrence,Singer,2015
79,CoCo,O.T. Genasis,Singer,2015
80,Bang Bang,"Jessie J, Ariana Grande and Nicki Minaj",Singer,2015
81,Lay Me Down,Sam Smith,Singer,2015
82,Tuesday,iLoveMakonnen featuring Drake,Singer,2015
83,Hit the Quan,iLoveMemphis,Singer,2015
84,Downtown,"Macklemore & Ryan Lewis featuring Eric Nally, Melle Mel, Kool Moe Dee, and Grandmaster Caz",Band,2015
85,House Party,Sam Hunt,Singer,2015
86,Ayo,Chris Brown and Tyga,Singer,2015
87,Kick the Dust Up,Luke Bryan,Singer,2015
88,Blessings,Big Sean featuring Drake and Kanye West,Singer,2015
89,Budapest,George Ezra,Singer,2015
90,Chandelier,Sia,Singer,2015
91,Heartbeat Song,Kelly Clarkson,Singer,2015
92,Don't,Ed Sheeran,Singer,2015
93,Ghost,Ella Henderson,Singer,2015
94,Here,Alessia Cara,Singer,2015
95,Waves (Robin Schulz Remix),Mr Probz,Singer,2015
96,El Perdón,Nicky Jam and Enrique Iglesias,Singer,2015
97,She Knows,Ne-Yo featuring Juicy J,Singer,2015
98,Night Changes,One Direction,Band,2015
99,Back to Back,Drake,Singer,2015
100,How Deep Is Your Love,Calvin Harris and Disciples,Band,2015
1,Blinding Lights,The Weeknd,Singer,2020
2,Circles,Post Malone,Singer,2020
3,The Box,Roddy Ricch,Singer,2020
4,Don't Start Now,Dua Lipa,Singer,2020
5,Rockstar,DaBaby featuring Roddy Ricch,Singer,2020
6,Adore You,Harry Styles,Singer,2020
7,Life Is Good,Future featuring Drake,Singer,2020
8,Memories,Maroon 5,Band,2020
9,The Bones,Maren Morris,Singer,2020
10,Someone You Loved,Lewis Capaldi,Singer,2020
11,Say So,Doja Cat,Singer,2020
12,I Hope,Gabby Barrett featuring Charlie Puth,Singer,2020
13,Whats Poppin,"Jack Harlow featuring DaBaby, Tory Lanez, Lil Wayne",Singer,2020
14,Dance Monkey,Tones and I,Singer,2020
15,Savage,Megan Thee Stallion featuring Beyoncé,Singer,2020
16,Roxanne,Arizona Zervas,Singer,2020
17,Intentions,Justin Bieber featuring Quavo,Singer,2020
18,Everything I Wanted,Billie Eilish,Singer,2020
19,Roses (Imanbek remix),Saint Jhn,Singer,2020
20,Watermelon Sugar,Harry Styles,Singer,2020
21,Before You Go,Lewis Capaldi,Singer,2020
22,Falling,Trevor Daniel,Singer,2020
23,"10,000 Hours",Dan + Shay and Justin Bieber,Band,2020
24,WAP,Cardi B featuring Megan Thee Stallion,Singer,2020
25,Ballin',Mustard and Roddy Ricch,Singer,2020
26,Hot Girl Bummer,Blackbear,Singer,2020
27,Blueberry Faygo,Lil Mosey,Singer,2020
28,Heartless,The Weeknd,Singer,2020
29,Bop,DaBaby,Singer,2020
30,Lose You to Love Me,Selena Gomez,Singer,2020
31,Good as Hell,Lizzo,Singer,2020
32,Toosie Slide,Drake,Singer,2020
33,Break My Heart,Dua Lipa,Singer,2020
34,Chasin' You,Morgan Wallen,Singer,2020
35,Savage Love (Laxed – Siren Beat),Jawsh 685 and Jason Derulo,Singer,2020
36,No Guidance,Chris Brown featuring Drake,Singer,2020
37,My Oh My,Camila Cabello featuring DaBaby,Singer,2020
38,Dynamite,BTS,Band,2020
39,Go Crazy,Chris Brown and Young Thug,Singer,2020
40,High Fashion,Roddy Ricch featuring Mustard,Singer,2020
41,Laugh Now Cry Later,Drake featuring Lil Durk,Singer,2020
42,Woah,Lil Baby,Singer,2020
43,Death Bed,Powfu featuring Beabadoobee,Singer,2020
44,Señorita,Shawn Mendes and Camila Cabello,Singer,2020
45,Highest in the Room,Travis Scott,Singer,2020
46,Bad Guy,Billie Eilish,Singer,2020
47,Mood,24kGoldn featuring Iann Dior,Singer,2020
48,Rain on Me,Lady Gaga and Ariana Grande,Singer,2020
49,For the Night,Pop Smoke featuring Lil Baby and DaBaby,Singer,2020
50,Ritmo (Bad Boys for Life),Black Eyed Peas and J Balvin,Band,2020
51,Heart on Ice,Rod Wave,Singer,2020
52,Nobody but You,Blake Shelton and Gwen Stefani,Singer,2020
53,Trampoline,Shaed,Band,2020
54,Come & Go,Juice Wrld and Marshmello,Singer,2020
55,Truth Hurts,Lizzo,Singer,2020
56,If the World Was Ending,JP Saxe featuring Julia Michaels,Singer,2020
57,We Paid,Lil Baby and 42 Dugg,Singer,2020
58,Yummy,Justin Bieber,Singer,2020
59,One Man Band,Old Dominion,Band,2020
60,Got What I Got,Jason Aldean,Singer,2020
61,Sunday Best,Surfaces,Band,2020
62,Godzilla,Eminem featuring Juice Wrld,Singer,2020
63,Bandit,Juice Wrld and YoungBoy Never Broke Again,Singer,2020
64,Party Girl,StaySolidRocky,Singer,2020
65,Die from a Broken Heart,Maddie & Tae,Band,2020
66,Popstar,DJ Khaled featuring Drake,Singer,2020
67,All I Want for Christmas Is You,Mariah Carey,Singer,2020
68,One of Them Girls,Lee Brice,Singer,2020
69,Hard to Forget,Sam Hunt,Singer,2020
70,One Margarita,Luke Bryan,Singer,2020
71,Panini,Lil Nas X,Singer,2020
72,Hot,Young Thug featuring Gunna,Singer,2020
73,I Hope You're Happy Now,Carly Pearce and Lee Brice,Singer,2020
74,Emotionally Scarred,Lil Baby,Singer,2020
75,Suicidal,YNW Melly featuring Juice Wrld,Singer,2020
76,The Bigger Picture,Lil Baby,Singer,2020
77,Only Human,Jonas Brothers,Band,2020
78,The Woo,Pop Smoke featuring 50 Cent and Roddy Ricch,Singer,2020
79,Sum 2 Prove,Lil Baby,Singer,2020
80,Stuck with U,Ariana Grande and Justin Bieber,Singer,2020
81,Mood Swings,Pop Smoke featuring Lil Tjay,Singer,2020
82,You Should Be Sad,Halsey,Singer,2020
83,Dior,Pop Smoke,Singer,2020
84,Supalonely,Benee featuring Gus Dapperton,Singer,2020
85,Even Though I'm Leaving,Luke Combs,Singer,2020
86,The Scotts,The Scotts (Travis Scott and Kid Cudi),Band,2020
87,Juicy,Doja Cat and Tyga,Singer,2020
88,Be Like That,"Kane Brown, Swae Lee and Khalid",Singer,2020
89,Homesick,Kane Brown,Singer,2020
90,Rags2Riches,Rod Wave featuring ATR Son Son,Singer,2020
91,Bluebird,Miranda Lambert,Singer,2020
92,Wishing Well,Juice Wrld,Singer,2020
93,Does to Me,Luke Combs featuring Eric Church,Singer,2020
94,Pussy Fairy (OTW),Jhené Aiko,Singer,2020
95,ILY (I Love You Baby),Surf Mesa featuring Emilee,Singer,2020
96,More Than My Hometown,Morgan Wallen,Singer,2020
97,Lovin' on You,Luke Combs,Singer,2020
98,Said Sum,Moneybagg Yo,Singer,2020
99,Slide,H.E.R. featuring YG,Singer,2020
100,Walk Em Down,NLE Choppa featuring Roddy Ricch,Singer,2020
